Player,Stats
A.D. Vassallo,"[[[97.5, 5.6, 13.7, 132.3, 20.7, 53.1, 56.0, 5.1, 9.8, 36.6, 0.0, 5.1, 0.0, 12.5, 0.667, 14.2, 0.3, 6.5], '20081101-20081114']]"
Billy Blackmon,"[[[75.0, 5.6, 2.6, 161.3, 7.9, 75.0, 75.0, 10.8, 26.7, 0.0, 0.0, 6.1, 0.0, 0.0, 0.75, 0.0, 0.0, 6.833333333333333], '20081101-20081114']]"
Tyler Dierkers,"[[[96.3, 5.6, 7.4, 132.0, 13.9, 60.0, 68.7, 7.6, 15.4, 16.5, 18.4, 0.0, 2.6, 50.0, 0.6, 0.0, 0.0, 6.666666666666667], '20081101-20081114']]"
Robbie John Hummel,"[[[47.5, 5.5, 21.0, 151.2, 27.1, 66.7, 70.4, 21.1, 28.4, 24.1, 0.0, 0.0, 3.0, 22.2, 0.429, 6.0, 1.0, 6.666666666666667], '20081101-20081114']]"
Jeremy Goode,"[[[95.0, 5.5, 4.1, 115.5, 32.4, 68.2, 67.2, 10.2, 3.2, 18.6, 22.8, 0.0, 3.0, 145.5, 0.429, 5.9, 0.75, 5.75], '20081101-20081114']]"
Jimmy Baron,"[[[85.0, 5.4, 7.4, 132.2, 23.8, 46.4, 53.5, 8.6, 10.7, 24.6, 0.0, 0.0, 0.0, 28.6, 0.286, 12.5, 0.429, 6.25], '20081101-20081114']]"
Kelly Beidler,"[[[85.0, 5.4, 10.4, 143.2, 17.7, 70.0, 71.4, 3.8, 39.2, 10.7, 9.3, 0.0, 3.3, 40.0, 0.5, 3.3, 1.0, 6.416666666666667], '20081101-20081114']]"
Tim Pierce,"[[[85.0, 5.4, 11.7, 131.2, 24.4, 63.6, 63.4, 0.0, 7.2, 6.2, 0.0, 0.0, 1.7, 136.4, 0.571, 6.4, 0.5, 6.583333333333333], '20081101-20081114']]"
Ron Burks,"[[[45.0, 5.3, 10.4, 164.6, 16.4, 100.0, 92.4, 5.6, 12.0, 25.5, 14.8, 0.0, 0.0, 40.0, 1.0, 7.3, 0.667, 6.333333333333333], '20081101-20081114']]"
Lebaron Weathers,"[[[85.0, 5.3, 9.6, 115.6, 28.9, 58.3, 59.5, 3.1, 34.2, 9.5, 12.5, 8.1, 0.0, 5.6, 0.545, 12.7, 0.429, 6.666666666666667], '20081101-20081114']]"
Brandon Crawford,"[[[72.5, 5.3, 16.9, 117.8, 27.5, 68.4, 67.0, 9.6, 3.9, 42.1, 17.6, 0.0, 1.7, 21.1, 0.583, 11.3, 0.571, 6.416666666666667], '20081101-20081114']]"
R.J. Rutledge,"[[[52.5, 5.3, 22.5, 172.4, 20.8, 100.0, 100.0, 0.0, 6.6, 35.7, 15.8, 0.0, 0.0, 0.0, 0.75, 16.4, 0.8, 6.416666666666667], '20081101-20081114']]"
Jesse Carr,"[[[50.0, 5.3, 15.8, 148.7, 27.9, 83.3, 90.3, 6.9, 22.7, 16.7, 21.2, 0.0, 3.0, 333.3, 1.0, 5.9, 0.5, 6.166666666666667], '20081101-20081114']]"
Jamarco Warren,"[[[87.5, 5.3, 6.9, 114.8, 26.7, 77.8, 79.1, 3.1, 4.6, 20.3, 30.6, 0.0, 0.0, 55.6, 0.2, 8.2, 1.0, 5.916666666666667], '20081101-20081114']]"
Svetoslav Chetinov,"[[[60.0, 5.2, 3.2, 176.3, 11.1, 75.0, 82.9, 13.3, 20.8, 0.0, 0.0, 4.8, 0.0, 75.0, 0.75, 0.0, 0.0, 6.75], '20081101-20081114']]"
Jeff Adrien,"[[[75.0, 5.2, 17.1, 156.4, 13.2, 85.7, 88.1, 4.2, 19.5, 13.3, 13.5, 3.4, 3.6, 28.6, 0.857, 0.0, 0.0, 6.583333333333333], '20081101-20081114']]"
Lawrence Hill,"[[[47.5, 5.2, 25.5, 123.5, 43.8, 77.3, 74.3, 16.6, 42.1, 100.0, 18.7, 0.0, 2.8, 72.7, 0.778, 5.5, 0.5, 6.666666666666667], '20081101-20081114']]"
Rotnei Clarke,"[[[86.7, 5.2, 5.3, 146.3, 12.1, 77.3, 77.3, 2.3, 2.7, 5.0, 10.6, 0.0, 0.0, 0.0, 0.333, 10.2, 0.625, 6.0], '20081101-20081114']]"
Lawrence Williams,"[[[52.5, 5.2, 12.6, 129.6, 29.9, 50.0, 61.8, 20.3, 4.8, 13.2, 8.9, 0.0, 2.7, 87.5, 0.5, 0.0, 0.0, 6.583333333333333], '20081101-20081114']]"
Hasheem Thabeet,"[[[82.5, 5.2, 16.8, 124.3, 27.3, 63.6, 67.0, 15.2, 38.4, 0.0, 11.8, 15.5, 1.6, 118.2, 0.636, 0.0, 0.0, 7.25], '20081101-20081114']]"
Mark Yelovich,"[[[67.5, 5.2, 17.9, 147.8, 19.9, 95.0, 91.9, 4.2, 20.6, 12.2, 18.8, 0.0, 1.9, 30.0, 0.833, 7.5, 0.75, 6.5], '20081101-20081114']]"
E'Twaun Moore,"[[[57.5, 5.2, 21.2, 136.1, 26.1, 62.5, 67.0, 0.0, 23.5, 29.7, 0.0, 0.0, 2.5, 25.0, 0.375, 9.8, 0.75, 6.333333333333333], '20081101-20081114']]"
Walter Hodge,"[[[77.5, 5.1, 10.1, 158.0, 10.5, 71.4, 71.4, 8.6, 0.0, 11.8, 0.0, 0.0, 5.5, 0.0, 0.667, 7.3, 0.5, 6.0], '20081101-20081114']]"
Marcus Walker,"[[[57.5, 5.1, 13.1, 131.9, 31.7, 54.2, 61.2, 0.0, 7.9, 29.7, 8.1, 0.0, 5.2, 33.3, 0.714, 12.9, 0.2, 6.166666666666667], '20081101-20081114']]"
Jarrel Smith,"[[[77.5, 5.1, 4.6, 127.7, 23.1, 57.1, 61.1, 3.3, 11.2, 13.8, 0.0, 0.0, 3.4, 35.7, 0.667, 3.4, 0.0, 6.583333333333333], '20081101-20081114']]"
Mikko Koivisto,"[[[75.0, 5.1, 7.2, 141.5, 15.8, 61.1, 63.3, 3.8, 7.4, 18.2, 12.4, 0.0, 1.9, 11.1, 0.333, 11.8, 0.5, 6.333333333333333], '20081101-20081114']]"
Dwayne Harmason,"[[[75.0, 5.1, 2.0, 117.3, 24.5, 55.0, 59.4, 7.6, 19.0, 40.8, 24.4, 0.0, 0.0, 20.0, 0.5, 4.0, 0.5, 5.916666666666667], '20081101-20081114']]"
Gani Lawal,"[[[62.5, 5.0, 15.0, 150.0, 20.3, 77.8, 73.0, 15.5, 24.8, 0.0, 0.0, 3.6, 4.2, 77.8, 0.778, 0.0, 0.0, 6.75], '20081101-20081114']]"
Paul Gause,"[[[80.0, 5.0, 19.7, 145.8, 16.3, 62.5, 59.0, 11.7, 16.4, 40.0, 10.3, 0.0, 8.6, 12.5, 0.4, 5.1, 0.667, 5.916666666666667], '20081101-20081114']]"
Casey Crawford,"[[[47.5, 5.0, 24.1, 147.3, 26.9, 87.5, 82.6, 13.6, 0.0, 44.0, 11.6, 0.0, 6.5, 12.5, 0.8, 9.4, 0.667, 6.75], '20081101-20081114']]"
Keith Gabriel,"[[[47.5, 5.0, 14.5, 145.6, 21.0, 83.3, 83.3, 0.0, 5.7, 0.0, 10.9, 3.8, 4.5, 0.0, 0.667, 13.8, 0.667, 6.333333333333333], '20081101-20081114']]"
Shawn Morgan,"[[[60.0, 5.0, 12.5, 155.5, 15.6, 80.0, 78.1, 0.0, 3.9, 0.0, 0.0, 4.3, 2.4, 140.0, 0.8, 0.0, 0.0, 6.5], '20081101-20081114']]"
Colin Cunningham,"[[[85.0, 5.0, 9.9, 147.9, 12.3, 50.0, 56.6, 2.7, 21.0, 35.1, 0.0, 4.2, 3.4, 28.6, 0.667, 7.0, 0.25, 6.5], '20081101-20081114']]"
James Anderson,"[[[92.5, 5.0, 10.2, 136.3, 15.3, 70.0, 77.8, 10.5, 13.5, 13.1, 21.8, 12.5, 0.0, 60.0, 0.667, 3.3, 0.5, 6.5], '20081101-20081114']]"
Austin Kenon,"[[[92.5, 4.9, 1.5, 121.9, 15.1, 68.2, 65.9, 2.7, 2.9, 7.3, 15.6, 0.0, 2.3, 36.4, 0.0, 11.8, 0.5, 5.916666666666667], '20081101-20081114']]"
Cornel Williams,"[[[75.0, 4.9, 7.0, 136.2, 12.5, 68.8, 68.8, 3.3, 30.8, 6.8, 0.0, 0.0, 0.0, 0.0, 1.0, 13.2, 0.429, 6.333333333333333], '20081101-20081114']]"
Tony Lewis,"[[[47.5, 4.9, 4.8, 160.6, 18.2, 91.7, 92.7, 0.0, 0.0, 14.5, 16.3, 0.0, 0.0, 16.7, 0.8, 3.0, 1.0, 6.25], '20081101-20081114']]"
Kellen McCoy,"[[[73.8, 4.9, 4.6, 133.4, 19.5, 80.8, 83.3, 5.9, 10.7, 14.7, 24.7, 0.0, 0.0, 61.5, 0.667, 3.9, 0.75, 5.5], '20081101-20081114']]"
Tanner Smith,"[[[47.5, 4.9, 15.8, 159.7, 17.2, 70.0, 79.7, 10.3, 7.9, 16.4, 14.0, 5.0, 0.0, 80.0, 0.5, 2.4, 1.0, 6.416666666666667], '20081101-20081114']]"
Michael Bramos,"[[[76.3, 4.8, 4.9, 105.2, 34.7, 40.7, 50.6, 0.0, 12.1, 16.3, 6.2, 4.6, 1.1, 59.3, 0.357, 14.0, 0.308, 6.416666666666667], '20081101-20081114']]"
Al-Farouq Aminu,"[[[70.0, 4.8, 10.5, 143.9, 23.3, 75.0, 73.0, 18.4, 17.9, 0.0, 8.3, 11.3, 2.0, 41.7, 0.9, 3.8, 0.0, 6.75], '20081101-20081114']]"
Landon Milbourne,"[[[62.5, 4.8, 9.6, 146.3, 19.9, 55.6, 67.5, 7.3, 3.3, 7.3, 0.0, 3.6, 0.0, 66.7, 0.625, 2.0, 0.0, 6.583333333333333], '20081101-20081114']]"
Austin Johnson,"[[[65.0, 4.8, 15.5, 149.6, 13.4, 62.5, 62.5, 0.0, 3.9, 49.4, 16.4, 4.0, 4.5, 0.0, 1.0, 6.6, 0.333, 6.25], '20081101-20081114'], [[40.0, -1.0, -6.4, 69.7, 15.9, 30.0, 30.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.5, 6.333333333333333], '20081101-20081114']]"
Mike Ladd,"[[[60.0, 4.8, 8.3, 170.1, 15.1, 71.4, 71.4, 18.5, 0.0, 22.4, 0.0, 3.4, 0.0, 0.0, 0.5, 7.2, 0.667, 6.416666666666667], '20081101-20081114']]"
Andrew Brown,"[[[87.5, 4.8, 7.3, 115.8, 29.7, 46.7, 55.7, 3.2, 5.1, 35.1, 10.3, 0.0, 3.1, 66.7, 0.25, 16.9, 0.364, 5.916666666666667], '20081101-20081114']]"
Trevor Booker,"[[[62.5, 4.8, 16.9, 130.3, 23.0, 68.2, 59.8, 19.5, 24.2, 15.4, 8.0, 7.6, 2.0, 45.5, 0.6, 1.8, 1.0, 6.583333333333333], '20081101-20081114']]"
Afam Muojeke,"[[[82.5, 4.8, 9.7, 115.0, 33.1, 47.1, 63.0, 3.0, 9.9, 0.0, 17.7, 0.0, 4.5, 94.1, 0.417, 7.3, 0.4, 6.666666666666667], '20081101-20081114']]"
