RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fr,6-6,Dylan Harper,Rutgers,B10,84.5,6.5,10.0,120.7,29.3,61.2,64.1,0.9,11.9,21.9,15.7,0.7,5.0,41.4,19-30,0.633,11.7,11-28,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jr,6-9,Rasheer Fleming,Saint Joseph's,A10,87.4,6.4,9.7,140.5,19.2,76.4,76.9,6.6,17.7,9.4,13.1,4.1,1.8,10.9,21-25,0.840,10.8,14-30,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,So,6-2,Xzayvier Brown,Saint Joseph's,A10,91.7,6.4,6.7,126.9,26.1,63.9,67.9,3.2,14.1,25.1,17.0,0.5,2.0,36.1,24-37,0.649,8.2,10-24,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sr,6-6,Nique Clifford,Colorado St.,MWC,89.1,6.4,13.0,126.0,28.4,64.2,66.1,8.0,28.1,31.6,18.4,3.2,2.1,41.7,22-43,0.512,5.9,11-17,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Jr,6-7,Josh Reed,Cincinnati,B12,72.0,6.4,6.5,155.1,10.6,66.7,69.5,5.1,5.3,6.3,0.0,0.0,2.6,29.2,10-17,0.588,3.1,4-7,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sr,6-0,Jalen Terry,Eastern Michigan,MAC,96.3,6.3,8.3,132.8,26.0,69.8,71.3,3.2,18.6,11.0,15.9,1.7,2.5,24.7,22-36,0.611,14.3,23-45,0.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sr,6-7,Jacob Ognacevic,Lipscomb,ASun,94.8,6.3,5.5,133.9,25.9,64.3,70.5,4.8,17.9,9.6,10.2,1.7,0.3,61.9,27-45,0.600,5.9,9-18,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jr,6-4,Isaac McKneely,Virginia,ACC,89.5,6.3,8.3,122.7,24.2,64.1,67.9,0.8,9.1,16.1,10.3,1.2,2.1,21.9,11-20,0.550,15.7,20-44,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,So,6-9,Thomas Haugh,Florida,SEC,75.8,6.3,10.7,140.7,18.3,61.1,64.5,9.0,13.0,14.5,8.3,2.3,3.0,28.9,17-28,0.607,6.5,7-17,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Jr,6-2,Donovan Dent,New Mexico,MWC,94.9,6.2,8.0,120.0,28.2,52.5,60.4,1.6,4.1,36.3,16.7,5.0,1.5,52.5,25-50,0.500,3.3,4-9,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
