RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jr,6-5,Oziyah Sellers,Stanford,ACC,80.8,5.9,8.3,138.5,15.8,71.2,72.8,3.3,8.7,6.7,11.6,1.2,1.8,23.1,11-16,0.688,6.1,5-10,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sr,6-3,Bryce Johnson,UMBC,AE,89.9,5.9,5.1,134.7,20.4,65.0,67.5,0.0,15.1,18.5,4.7,1.6,1.9,35.0,20-27,0.741,6.2,4-13,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sr,6-3,Ty Berry,Northwestern,B10,81.8,5.9,11.1,154.7,12.0,72.9,74.1,2.4,12.0,8.2,0.0,1.5,4.8,8.3,4-8,0.500,9.6,9-16,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Jr,6-9,Brock Wisne,Northern Colorado,BSky,59.9,5.9,7.7,157.7,23.1,84.6,81.4,10.0,8.6,13.7,5.4,0.0,0.0,107.7,11-13,0.846,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Jr,6-2,Bruce Thornton,Ohio St.,B10,84.2,5.8,5.9,128.1,24.5,62.8,67.9,0.9,10.7,16.9,11.9,1.6,0.8,53.2,19-30,0.633,7.1,7-17,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sr,6-6,Brooks Barnhizer,Northwestern,B10,95.8,5.8,16.3,120.3,26.7,51.1,55.8,1.0,35.2,24.9,5.7,7.5,6.1,47.8,19-36,0.528,5.1,3-10,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sr,6-4,Kam Jones,Marquette,BE,83.6,5.8,10.1,115.3,34.9,48.0,49.9,4.9,12.4,44.6,10.8,0.0,2.8,14.9,28-50,0.560,11.3,5-24,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Fr,6-1,Andy Stefonowicz,North Dakota St.,Sum,57.4,5.8,10.7,196.9,10.1,110.0,110.0,3.9,9.7,24.0,12.7,0.0,1.3,0.0,1-1,1.000,5.1,3-4,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fr,5-11,Connor Amundsen,Dartmouth,Ivy,93.1,5.8,5.6,139.8,22.4,73.6,76.5,2.4,8.1,23.4,16.0,0.0,0.0,41.7,4-17,0.235,9.8,15-19,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Jr,6-3,Jamar Franklin,Jacksonville St.,CUSA,72.3,5.7,6.9,156.4,14.5,73.1,72.9,6.4,7.0,0.0,4.8,0.0,0.7,11.5,4-9,0.444,12.0,10-17,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
